,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1702049198.315148,-890438,-1087848,-890438,-1087848,122.00065683338362,584.9019858936044,132.20065539438784,633.8033571590972,Max Werner,CMJ,double,both,0.0
1,1702049198.327878,-890912,-101,-890912,-1087859,122.05921589742692,585.1827328480882,132.20204313996362,633.8100103621558,Max Werner,CMJ,double,both,0.012729883193969727
2,1702049198.342255,-892256,-1087859,-892256,-1087859,122.22525678787885,585.9787748456122,132.20204313996362,633.8100103621558,Max Werner,CMJ,double,both,0.02710700035095215
3,1702049198.356611,-893158,-1087895,-893158,-1087895,122.33669196882204,586.5130232695457,132.20658485275706,633.8317844812564,Max Werner,CMJ,double,both,0.04146289825439453
4,1702049198.370989,-893786,-1087991,-893786,-1087991,122.41427655156296,586.8849833695791,132.21869608687288,633.8898487988579,Max Werner,CMJ,double,both,0.05584096908569336
5,1702049198.385451,-893138,-1088524,-893138,-1088524,122.33422112223793,586.5011774064873,132.2859386679535,634.212226728875,Max Werner,CMJ,double,both,0.07030296325683594
6,1702049198.39948,-891364,-1088386,-891364,-1088386,122.11505703022772,585.4504493532079,132.26852876891198,634.1287592723227,Max Werner,CMJ,double,both,0.08433198928833008
7,1702049198.4138849,-889808,-1088164,-889808,-1088164,121.92282516598426,584.528841207265,132.24052154001913,633.9944855378691,Max Werner,CMJ,double,both,0.09873676300048828
8,1702049198.4282959,-888149,-1087959,-888149,-1087959,121.71786844183266,583.5462268665715,132.21465900883427,633.8704940263241,Max Werner,CMJ,double,both,0.11314773559570312
9,1702049198.4423091,-887278,-1088070,-887278,-1088070,121.61026307309486,583.0303395303786,132.2286626232807,633.9376308935509,Max Werner,CMJ,double,both,0.12716102600097656
10,1702049198.4565241,-887082,-1088125,-887082,-1088125,121.5860487765706,582.9142500724063,132.23560135115957,633.9708969088434,Max Werner,CMJ,double,both,0.14137601852416992
11,1702049198.470779,-887216,-1088085,-887216,-1088085,121.60260344868412,582.9936173548975,132.2305550036113,633.9467034431761,Max Werner,CMJ,double,both,0.15563082695007324
12,1702049198.484991,-887682,-1088165,-887682,-1088165,121.6601741740938,583.2696259641581,132.24064769870782,633.9950903745107,Max Werner,CMJ,double,both,0.16984295845031738
13,1702049198.499208,-887493,-1088731,-887493,-1088731,121.63682467387399,583.1576825582563,132.31205351651576,634.3374279137033,Max Werner,CMJ,double,both,0.18405985832214355
14,1702049198.513414,-887465,-1088407,-887465,-1088407,121.63336548865624,583.1410983499745,132.27117810137483,634.141460841798,Max Werner,CMJ,double,both,0.19826579093933105
15,1702049198.527657,-887459,-1087676,-887459,-1087676,121.632624234681,583.1375445910569,132.1789560999303,633.6993252567278,Max Werner,CMJ,double,both,0.2125089168548584
16,1702049198.541783,-887425,-1085739,-887425,-1085739,121.62842379548803,583.1174066238577,131.93458671990564,632.5277566817879,Max Werner,CMJ,double,both,0.22663497924804688
17,1702049198.5560188,-887734,-1084868,-887734,-1084868,121.66659837521247,583.3004252081099,131.82470250204221,632.0009439668821,Max Werner,CMJ,double,both,0.24087071418762207
18,1702049198.570254,-888066,-1084026,-888066,-1084026,121.70761442850863,583.4970665348792,131.71847688615125,631.491671514585,Max Werner,CMJ,double,both,0.25510597229003906
19,1702049198.584795,-889436,-1083535,-889436,-1083535,121.8768674195199,584.308508154379,131.65653296999633,631.1946967235187,Max Werner,CMJ,double,both,0.26964688301086426
20,1702049198.599054,-890118,-1084268,-890118,-1084268,121.96112328803791,584.7124520846701,131.74900728881826,631.6380419818723,Max Werner,CMJ,double,both,0.2839059829711914
21,1702049198.613227,-890414,-1085638,-890414,-1085638,121.99769181748267,584.8877708579342,131.92184469234627,632.4666681809779,Max Werner,CMJ,double,both,0.2980787754058838
22,1702049198.62753,-890356,-1087085,-890356,-1087085,121.99052636238878,584.853417855065,132.1043963149047,633.3418668014931,Max Werner,CMJ,double,both,0.3123819828033447
23,1702049198.64141,-889637,-1088301,-889637,-1088301,121.90169942769016,584.4275590781158,132.25780528037194,634.0773481577797,Max Werner,CMJ,double,both,0.3262619972229004
24,1702049198.655591,-888476,-1088771,-888476,-1088771,121.75826678348281,583.7399067275762,132.31709986406403,634.3616213793706,Max Werner,CMJ,double,both,0.3404428958892822
25,1702049198.6697311,-887115,-1089351,-887115,-1089351,121.59012567343439,582.9337957464527,132.39027190351385,634.7124266315467,Max Werner,CMJ,double,both,0.3545830249786377
26,1702049198.6841621,-885593,-1090210,-885593,-1090210,121.40209424838392,582.0323255677091,132.4986422171128,635.2319813067523,Max Werner,CMJ,double,both,0.36901402473449707
27,1702049198.6983428,-882112,-1093223,-882112,-1093223,120.97204340042025,579.970553102396,132.87875834618575,637.054354108143,Max Werner,CMJ,double,both,0.3831946849822998
28,1702049198.7125509,-881345,-1094827,-881345,-1094827,120.87728643391978,579.5162642541067,133.08111688287113,638.0245120814026,Max Werner,CMJ,double,both,0.3974027633666992
29,1702049198.7269042,-881153,-1096259,-881153,-1096259,120.85356630671237,579.4025439687462,133.26177612509898,638.8906381522926,Max Werner,CMJ,double,both,0.4117560386657715
30,1702049198.741121,-880803,-1097413,-880803,-1097413,120.81032649149051,579.1952413652243,133.40736325186637,639.5886196367946,Max Werner,CMJ,double,both,0.42597293853759766
31,1702049198.755414,-880986,-1097140,-880986,-1097140,120.83293473773507,579.3036310122086,133.37292192984947,639.4234992336152,Max Werner,CMJ,double,both,0.4402658939361572
32,1702049198.769898,-882345,-1096250,-882345,-1096250,121.00082876312509,580.1085574070263,133.2606406969006,638.8851946225174,Max Werner,CMJ,double,both,0.45474982261657715
33,1702049198.8345401,-883656,-1094944,-883992,-1094944,121.20430297932621,581.0840642298848,133.0958774494498,638.0952779684794,Max Werner,CMJ,double,both,0.5193920135498047
34,1702049198.8346272,-101,-1091267,-885640,-1091267,121.40790073785656,582.0601633458963,132.63199195107566,635.8712936370111,Max Werner,CMJ,double,both,0.5194790363311768
35,1702049198.834712,-887528,-1089508,-887288,-1089508,121.6114984963869,583.0362624619078,132.4100788176408,634.807385984291,Max Werner,CMJ,double,both,0.5195639133453369
36,1702049198.834798,-888936,-1088080,-888936,-1088080,121.81509625491724,584.0123615779191,132.22992421016778,633.9436792599678,Max Werner,CMJ,double,both,0.5196499824523926
37,1702049198.839329,-890362,-1086924,-890362,-1086924,121.99126761636401,584.8569716139825,132.08408476602295,633.2444881021822,Max Werner,CMJ,double,both,0.5241808891296387
38,1702049198.853545,-891995,-1085265,-891995,-1085265,122.19301223995626,585.8241863327002,131.8747875014587,632.2410641136302,Max Werner,CMJ,double,both,0.5383968353271484
39,1702049198.867768,-895890,-1084544,-895890,-1084544,122.67420961221093,588.131168163322,131.78382708690128,631.8049768949769,Max Werner,CMJ,double,both,0.5526199340820312
40,1702049198.882067,-897059,-1084129,-897059,-1084129,122.81863059505193,588.8235588590849,131.73147123108802,631.5539696886783,Max Werner,CMJ,double,both,0.5669188499450684
41,1702049198.896339,-897673,-1082156,-897673,-1082156,122.89448558518399,589.1872268549776,131.48256013826995,630.360626994638,Max Werner,CMJ,double,both,0.581190824508667
42,1702049198.9105458,-898817,-1080763,-898817,-1080763,123.03581800979485,589.8648102219175,131.30682108490166,629.5180895527736,Max Werner,CMJ,double,both,0.5953977108001709
43,1702049198.924813,-899480,-1079601,-899480,-1079601,123.11772657405797,590.2575005823031,131.1602246886246,628.815269375138,Max Werner,CMJ,double,both,0.6096649169921875
44,1702049198.939049,-899885,-1078544,-899885,-1078544,123.16776121738611,590.4973793092356,131.02687495466174,628.1759570448792,Max Werner,CMJ,double,both,0.6239008903503418
45,1702049198.953286,-900674,-1077662,-900674,-1077662,123.2652361151291,590.9646986068891,130.91560299122253,627.6424911269148,Max Werner,CMJ,double,both,0.6381378173828125
46,1702049198.967514,-901638,-1077222,-901638,-1077222,123.38433092048301,591.5356692063036,130.8600931681916,627.3763630045743,Max Werner,CMJ,double,both,0.6523659229278564
47,1702049198.9817832,-901793,-1076676,-901793,-1076676,123.40347998150983,591.6274746450061,130.79121052415783,627.0461221982155,Max Werner,CMJ,double,both,0.6666350364685059
48,1702049198.996002,-901982,-1075822,-901982,-1075822,123.42682948172964,591.739418050908,130.6834710040024,626.5295917062182,Max Werner,CMJ,double,both,0.6808538436889648
49,1702049199.010294,-902419,-1073713,-902419,-1073713,123.48081747959235,591.9982501587338,130.4174023295202,625.2539912289088,Max Werner,CMJ,double,both,0.695145845413208
50,1702049199.024562,-903683,-1072995,-903683,-1072995,123.63697498370786,592.7469087040241,130.32682039102886,624.8197185201805,Max Werner,CMJ,double,both,0.7094137668609619
51,1702049199.038806,-904355,-1072511,-904355,-1072511,123.71999542893381,593.144929702786,130.26575958569487,624.5269775856059,Max Werner,CMJ,double,both,0.7236578464508057
52,1702049199.0530229,-904877,-1072156,-904877,-1072156,123.78448452477899,593.4541067286101,130.22097325120404,624.3122605778085,Max Werner,CMJ,double,both,0.7378747463226318
53,1702049199.067307,-904973,-1072629,-904973,-1072629,123.7963445883827,593.5109668712903,130.28064631096225,624.5983483093245,Max Werner,CMJ,double,both,0.7521588802337646
54,1702049199.081554,-905323,-1072628,-905323,-1072628,123.83958440360455,593.7182694748121,130.28052015227354,624.5977434726827,Max Werner,CMJ,double,both,0.7664058208465576
55,1702049199.0958169,-905456,-1072879,-905456,-1072879,123.85601553338886,593.7970444641505,130.3121859831389,624.7495574697452,Max Werner,CMJ,double,both,0.7806687355041504
56,1702049199.110104,-906014,-1073961,-906014,-1073961,123.92495215308541,594.1275440434796,130.44868968431945,625.4039907160462,Max Werner,CMJ,double,both,0.7949559688568115
57,1702049199.124257,-906782,-1073668,-906782,-1073668,124.01983266191509,594.5824251849218,130.4117251885284,625.2267735800331,Max Werner,CMJ,double,both,0.8091089725494385
58,1702049199.138575,-908766,-1072847,-908766,-1072847,124.26494064305841,595.7575348003143,130.3081489051003,624.7302026972114,Max Werner,CMJ,double,both,0.8234269618988037
59,1702049199.15269,-909298,-1070328,-909298,-1070328,124.33066516219564,596.0726347576675,129.99035516824839,623.206619196812,Max Werner,CMJ,double,both,0.8375418186187744
60,1702049199.167095,-909287,-1068448,-909287,-1068448,124.32930619657438,596.0661195329855,129.75317683348,622.0695263104482,Max Werner,CMJ,double,both,0.8519468307495117
61,1702049199.181203,-907375,-1066545,-907375,-1066545,124.09309326313384,594.9336550246031,129.51309684887136,620.9185221813254,Max Werner,CMJ,double,both,0.8660547733306885
62,1702049199.195374,-907022,-1065344,-907022,-1065344,124.04948282092437,594.7245755416226,129.36158026373474,620.1921133746641,Max Werner,CMJ,double,both,0.8802258968353271
63,1702049199.2096698,-906920,-1064567,-906920,-1064567,124.03688150334543,594.6641616400248,129.26355496260973,619.7221553040766,Max Werner,CMJ,double,both,0.8945217132568359
64,1702049199.223886,-907616,-1064465,-907616,-1064465,124.12286696447232,595.0763976744569,129.25068677636165,619.6604619666249,Max Werner,CMJ,double,both,0.9087378978729248
65,1702049199.238135,-910610,-1064782,-910610,-1064782,124.492752698113,596.849723374298,129.29067908068166,619.8521951820385,Max Werner,CMJ,double,both,0.9229869842529297
66,1702049199.2522602,-911937,-1065779,-911937,-1065779,124.65669336896843,597.6356963882223,129.4164592933221,620.4552173137963,Max Werner,CMJ,double,both,0.9371120929718018
67,1702049199.2671769,-912487,-1066472,-912487,-1066472,124.72464165003134,597.961457622328,129.5038872645958,620.8743691064826,Max Werner,CMJ,double,both,0.952028751373291
68,1702049199.280988,-912884,-1067179,-912884,-1067179,124.77368795472586,598.1965980040371,129.59308145751135,621.3019886121525,Max Werner,CMJ,double,both,0.9658398628234863
69,1702049199.295087,-913284,-1067646,-913284,-1067646,124.82310488640798,598.433515265205,129.65199756513732,621.5844473238184,Max Werner,CMJ,double,both,0.9799389839172363
70,1702049199.309342,-913536,-1068603,-913536,-1068603,124.85423755336771,598.5827731397407,129.77273143022953,622.1632759899089,Max Werner,CMJ,double,both,0.9941937923431396
71,1702049199.3234692,-913388,-1068908,-913388,-1068908,124.83595328864533,598.4951137531085,129.81120983028504,622.3477511656223,Max Werner,CMJ,double,both,1.0083210468292236
72,1702049199.3377159,-912744,-1068813,-912744,-1068813,124.75639202863711,598.1136769626283,129.7992247548579,622.2902916846624,Max Werner,CMJ,double,both,1.0225677490234375
73,1702049199.351943,-910656,-1068344,-910656,-1068344,124.49843564525644,596.8769688593322,129.74005632985453,622.006623299713,Max Werner,CMJ,double,both,1.036794900894165
74,1702049199.366665,-909550,-1066777,-909550,-1066777,124.36179782915538,596.2218926322033,129.5423656646513,621.058844282196,Max Werner,CMJ,double,both,1.0515167713165283
75,1702049199.380466,-908620,-1066288,-908479,-1066288,124.2294839945765,595.5875466654264,129.48067406587379,620.763079164413,Max Werner,CMJ,double,both,1.0653178691864014
76,1702049199.393387,-101,-1066065,-907409,-1066065,124.09729370232682,594.9537929918025,129.4525406782922,620.6282005933176,Max Werner,CMJ,double,both,1.0782389640808105
77,1702049199.4080021,-905882,-1066793,-906339,-1066793,123.96510341007715,594.3200393181785,129.5443842036706,621.0685216684628,Max Werner,CMJ,double,both,1.0928540229797363
78,1702049199.422194,-905269,-1067814,-905269,-1067814,123.83291311782747,593.6862856445546,129.67319222484002,621.6860598796211,Max Werner,CMJ,double,both,1.1070458889007568
79,1702049199.436342,-904658,-1068918,-904658,-1068918,123.75742875468303,593.3243945281207,129.8124714171721,622.3537995320391,Max Werner,CMJ,double,both,1.1211938858032227
80,1702049199.4505138,-904448,-1069971,-904448,-1069971,123.73148486554992,593.2000129660076,129.94531651638013,622.9906925157312,Max Werner,CMJ,double,both,1.1353657245635986
81,1702049199.464832,-904916,-1072431,-904916,-1072431,123.78930267561799,593.4772061615739,130.25566689059835,624.4785906542712,Max Werner,CMJ,double,both,1.149683952331543
82,1702049199.479056,-905309,-1073744,-905309,-1073744,123.83785481099568,593.7099773706714,130.4213132488701,625.2727411648009,Max Werner,CMJ,double,both,1.163907766342163
83,1702049199.4933891,-905518,-1074568,-905518,-1074568,123.86367515779959,593.8337666396316,130.52526800836432,625.7711265575476,Max Werner,CMJ,double,both,1.1782410144805908
84,1702049199.507662,-904260,-1075029,-904260,-1075029,123.70825890765931,593.0886618532587,130.58342716385806,626.0499562493635,Max Werner,CMJ,double,both,1.1925139427185059
85,1702049199.5217018,-903043,-1075585,-903043,-1075585,123.55790789301646,592.3678410861556,130.65357139477894,626.3862454221393,Max Werner,CMJ,double,both,1.2065536975860596
86,1702049199.53608,-901849,-1075717,-901849,-1075717,123.41039835194533,591.6606430615697,130.6702243416882,626.4660838588414,Max Werner,CMJ,double,both,1.2209317684173584
87,1702049199.550154,-900758,-1075667,-900758,-1075667,123.27561367078235,591.0144512317344,130.66391640725288,626.4358420267573,Max Werner,CMJ,double,both,1.2350058555603027
88,1702049199.564438,-898735,-1076321,-898735,-1076321,123.02568753880001,589.8162421833781,130.74642418966698,626.831405190418,Max Werner,CMJ,double,both,1.2492899894714355
89,1702049199.57877,-897949,-1077037,-897949,-1077037,122.92858326804465,589.3506997651833,130.8367538107809,627.2644682258629,Max Werner,CMJ,double,both,1.2636218070983887
90,1702049199.5929532,-897000,-1077516,-897000,-1077516,122.81134159762881,588.7886135630627,130.89718382267137,627.554184977229,Max Werner,CMJ,double,both,1.2778050899505615
91,1702049199.6071959,-896283,-1077768,-896283,-1077768,122.7227617475886,588.3639393724193,130.92897581222542,627.7066038109332,Max Werner,CMJ,double,both,1.2920477390289307
92,1702049199.6213472,-895308,-1078314,-895308,-1078314,122.60230797661343,587.7864535483227,130.99785845625922,628.0368446172921,Max Werner,CMJ,double,both,1.306199073791504
93,1702049199.635645,-894854,-1079113,-894854,-1079113,122.54621975915423,587.5175524568972,131.0986592485358,628.5201090939968,Max Werner,CMJ,double,both,1.3204967975616455
94,1702049199.6497579,-894591,-1080262,-894591,-1080262,122.51372812657324,587.3617793576794,131.24361558185964,629.2150663952904,Max Werner,CMJ,double,both,1.3346097469329834
95,1702049199.664114,-894396,-1083335,-894396,-1083335,122.4896373723782,587.24628219286,131.631301232255,631.0737293951821,Max Werner,CMJ,double,both,1.3489658832550049
96,1702049199.678231,-895137,-1084810,-895137,-1084810,122.58118223831933,587.6851714191735,131.81738529809724,631.9658634416645,Max Werner,CMJ,double,both,1.3630828857421875
97,1702049199.692432,-896339,-1085920,-896339,-1085920,122.7296801180241,588.3971077889828,131.95742144256153,632.6372321139324,Max Werner,CMJ,double,both,1.3772838115692139
98,1702049199.706763,-897306,-1086578,-897306,-1086578,122.84914555036563,588.969855267856,132.04043385973048,633.03521462416,Max Werner,CMJ,double,both,1.3916149139404297
99,1702049199.720934,-897448,-1086702,-897448,-1086702,122.86668856111278,589.0539608955705,132.05607753713008,633.1102143677285,Max Werner,CMJ,double,both,1.4057857990264893
100,1702049199.7352982,-895531,-1085609,-895531,-1085609,122.62985791602622,587.9185349214238,131.91818609037378,632.4491279183691,Max Werner,CMJ,double,both,1.4201500415802002
101,1702049199.749467,-894246,-1084182,-894246,-1084182,122.4711060229974,587.1574382199221,131.73815764158948,631.5860260306875,Max Werner,CMJ,double,both,1.4343187808990479
102,1702049199.763669,-893591,-1082483,-893591,-1082483,122.39018579736793,586.7694862047598,131.523814029477,630.5584085764683,Max Werner,CMJ,double,both,1.4485208988189697
103,1702049199.778014,-893041,-1082088,-893041,-1082088,122.32223751630501,586.443724970654,131.4739813474379,630.3194981030035,Max Werner,CMJ,double,both,1.4628658294677734
104,1702049199.792119,-892462,-1081983,-892462,-1081983,122.25070650769514,586.1007872351136,131.4607346851237,630.2559902556268,Max Werner,CMJ,double,both,1.476970911026001
105,1702049199.806562,-891798,-1081737,-891798,-1081737,122.16867440110282,585.707504581575,131.42969964770188,630.1072004417728,Max Werner,CMJ,double,both,1.4914138317108154
106,1702049199.820828,-890782,-1080688,-890782,-1080688,122.04315539463023,585.1057347382088,131.29735918324866,629.4727268046473,Max Werner,CMJ,double,both,1.5056798458099365
107,1702049199.8349571,-890738,-1080171,-890738,-1080171,122.0377195321452,585.0796738394803,131.23213514118734,629.1600262608972,Max Werner,CMJ,double,both,1.5198090076446533
108,1702049199.849202,-892140,-1079905,-892140,-1079905,122.21092587769104,585.9100688398735,131.1985769299914,628.9991397142096,Max Werner,CMJ,double,both,1.5340538024902344
109,1702049199.8635268,-893773,-1079973,-893773,-1079973,122.4126705012833,586.8772835585912,131.20715572082344,629.040268605844,Max Werner,CMJ,double,both,1.5483787059783936
110,1702049199.877532,-895197,-1080667,-895197,-1080667,122.58859477807165,587.7207090083486,131.29470985078584,629.4600252351721,Max Werner,CMJ,double,both,1.5623838901519775
111,1702049199.8917692,-898181,-1080730,-898181,-1080730,122.95724508842028,589.4881117766606,131.30265784817433,629.4981299435981,Max Werner,CMJ,double,both,1.5766210556030273
112,1702049199.906021,-899122,-1080782,-899122,-1080782,123.07349842020247,590.0454596335579,131.30921809998708,629.5295814489656,Max Werner,CMJ,double,both,1.5908730030059814
113,1702049199.9203389,-899598,-1081721,-899598,-1081721,123.13230456890419,590.3273911743477,131.42768110868258,630.0975230555059,Max Werner,CMJ,double,both,1.6051907539367676
114,1702049199.9346838,-899988,-1082143,-899988,-1082143,123.18048607729426,590.5583855039863,131.48092007531676,630.3527641182961,Max Werner,CMJ,double,both,1.6195356845855713
115,1702049199.948817,-899957,-1082036,-899957,-1082036,123.1766562650889,590.5400244162457,131.46742109562516,630.288046597636,Max Werner,CMJ,double,both,1.6336688995361328
116,1702049199.96299,-899616,-1081350,-899616,-1081350,123.13452833082988,590.3380524511002,131.38087623517242,629.8731286614415,Max Werner,CMJ,double,both,1.6478419303894043
117,1702049199.9771972,-898958,-1079345,-898884,-1079345,123.0440953458516,589.9044938631631,131.1279280643157,628.6604311948672,Max Werner,CMJ,double,both,1.6620490550994873
118,1702049199.9901178,-101,-1078358,-898153,-1078358,122.95378590320253,589.4715275683789,131.0034094385623,628.0634574295261,Max Werner,CMJ,double,both,1.6749696731567383
119,1702049200.004807,-897344,-1077737,-897422,-1077737,122.86347646055344,589.0385612735946,130.92506489287553,627.687853875041,Max Werner,CMJ,double,both,1.6896588802337646
