,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
33,1702049346.182306,-905983,-1076470,-905983,-1076470,123.92112234088006,594.1091829557391,130.76522183428426,626.9215258500287,Max Werner,CMJ,double,both,0.47001123428344727
34,1702049346.2486532,-906567,-1076992,-906567,-1076992,123.99327106113596,594.4550821570442,130.8310766697891,627.2372505769872,Max Werner,CMJ,double,both,0.5363583564758301
35,1702049346.248739,-906698,-1077886,-906698,-1077886,124.00945510626185,594.5326725600767,130.9438625374928,627.7779745346518,Max Werner,CMJ,double,both,0.5364441871643066
36,1702049346.2488189,-906452,-1078646,-906452,-1078646,123.97906369327734,594.3869684444584,131.0397431409098,628.2376503823307,Max Werner,CMJ,double,both,0.5365240573883057
37,1702049346.248898,-906489,-1079508,-906489,-1079508,123.98363475945794,594.4088832911165,131.1484919305749,628.7590195674616,Max Werner,CMJ,double,both,0.5366032123565674
38,1702049346.253268,-906844,-1079772,-906844,-1079772,124.02749228632582,594.6191473604028,131.1817978243934,628.9186964408657,Max Werner,CMJ,double,both,0.5409731864929199
39,1702049346.267434,-907697,-1079762,-907697,-1079762,124.13287389313794,595.1243734198432,131.18053623750635,628.9126480744488,Max Werner,CMJ,double,both,0.5551390647888184
40,1702049346.2818592,-909728,-1079604,-909728,-1079604,124.38378836375392,596.327320813423,131.1606031646907,628.8170838850631,Max Werner,CMJ,double,both,0.5695643424987793
41,1702049346.295943,-910394,-1078862,-910394,-1078862,124.46606755500464,596.7217880532673,131.06699341767043,628.3682950969343,Max Werner,CMJ,double,both,0.5836482048034668
42,1702049346.310176,-910311,-1078107,-910311,-1078107,124.45581354168061,596.672627721575,130.97174360769696,627.9116434324637,Max Werner,CMJ,double,both,0.5978810787200928
43,1702049346.324348,-909923,-1077102,-909923,-1077102,124.40787911794895,596.4428179782423,130.84495412554682,627.3037826075723,Max Werner,CMJ,double,both,0.6120531558990479
44,1702049346.3387148,-909919,-1074593,-909919,-1074593,124.40738494863213,596.4404488056306,130.528421975582,625.7862474735898,Max Werner,CMJ,double,both,0.6264200210571289
45,1702049346.3531399,-910566,-1073527,-910566,-1073527,124.48731683562796,596.8236624755696,130.39393681342077,625.1414916135558,Max Werner,CMJ,double,both,0.6408450603485107
46,1702049346.3672588,-911552,-1073105,-911552,-1073105,124.60912957222439,597.4076635243482,130.34069784678658,624.8862505507656,Max Werner,CMJ,double,both,0.6549639701843262
47,1702049346.381481,-912303,-1072779,-912303,-1072779,124.70190986145758,597.8524756821909,130.29957011426825,624.689073805577,Max Werner,CMJ,double,both,0.6691861152648926
48,1702049346.395668,-912091,-1073074,-912091,-1073074,124.67571888766605,597.7269095337718,130.3367869274367,624.8675006148734,Max Werner,CMJ,double,both,0.683373212814331
49,1702049346.409886,-911472,-1073423,-911472,-1073423,124.59924618588796,597.3602800721146,130.38081630979528,625.0785886028207,Max Werner,CMJ,double,both,0.6975910663604736
50,1702049346.424074,-910835,-1073442,-910835,-1073442,124.52054972218419,596.9829893337048,130.3832133248807,625.0900804990126,Max Werner,CMJ,double,both,0.7117791175842285
51,1702049346.4383821,-911059,-1073856,-911059,-1073856,124.54822320392617,597.1156629999589,130.43544302200524,625.3404828686695,Max Werner,CMJ,double,both,0.7260873317718506
52,1702049346.452697,-913491,-1073911,-913491,-1073911,124.84867814855347,598.5561199478593,130.4423817498841,625.3737488839621,Max Werner,CMJ,double,both,0.7404022216796875
53,1702049346.466849,-914747,-1074332,-914747,-1074332,125.00384731403534,599.3000401479263,130.49549455782957,625.6283851101106,Max Werner,CMJ,double,both,0.754554271697998
54,1702049346.481782,-915602,-1075000,-915602,-1075000,125.10947600550587,599.8064507936725,130.57976856188557,626.0324159867547,Max Werner,CMJ,double,both,0.7694871425628662
55,1702049346.495312,-915612,-1074748,-915612,-1074748,125.11071142879793,599.8123737252017,130.54797657233152,625.8799971530507,Max Werner,CMJ,double,both,0.7830171585083008
